train_years,train_end_year,n_obs,alpha,beta,delta0,delta1,delta2,delta3,delta0_err,delta1_err,delta2_err,delta3_err,a0,a1,a2,a0_err,a1_err,a2_err
2005-2013,2013,3287,0.0006062361287388311,0.9230119793884752,-1.1720749474518057,0.9459780328853334,0.011062124783451222,0.5094493013624788,0.35982629140660727,0.0482686127112243,0.035794322392738026,0.20583803779394239,-0.0721258467381905,-0.07314020440635456,-0.3885975837417301,0.016318314663065134,0.023084593283751505,0.02307056840858071
2005-2014,2014,3652,0.00015907074336538718,0.923649395263787,-1.082100168193184,0.9359593729926242,0.024977448105567502,0.4507069082902723,0.34085727971717106,0.04572397713930321,0.03390724732617822,0.1949858360691209,-0.08792766783974704,-0.06753360422249631,-0.3837598301540576,0.015389141475507719,0.02176948432900158,0.021757579218794575
2005-2015,2015,4017,0.0009579482168334513,0.9229258853229941,-1.3128272829530887,0.9672969343335351,0.00040966440629455465,0.5856690708315802,0.32238827106115003,0.04324642879099632,0.032069939155178674,0.18441994308096346,-0.07822075567051262,-0.0605707313762095,-0.37238382310226453,0.014648178523613732,0.020720803466949156,0.020710500716368548
2005-2016,2016,4383,0.00037506764079394664,0.9234125009065326,-1.2383462593079682,0.9568227660263044,0.006091508263475338,0.5414175401053689,0.31040144772961037,0.041638615996080555,0.030877818168711046,0.17756578631551662,-0.07966264261081717,-0.06607495893423318,-0.37069220756521365,0.014066435325577466,0.019899741750729356,0.01988614314865736
2005-2017,2017,4748,0.00025005193513040437,0.9235885249068878,-1.1569050084376404,0.9457058599403797,0.01896702815025993,0.4964958404501542,0.29719907087722336,0.03986755145518355,0.0295644086690607,0.1700125779182764,-0.06271832987275393,-0.06367835369203374,-0.3667271142038124,0.01344247936376673,0.019016534189031015,0.019004537174543118
2005-2018,2018,5113,0.00036302042797967083,0.9234067572095032,-1.127848898841648,0.9407117871979473,0.022252389116674983,0.48392650834686846,0.28726334212586896,0.0385346975740988,0.02857597123877148,0.16432821817814647,-0.0626606648788965,-0.07635926152787406,-0.3737608993313598,0.012972897644148796,0.01835182295487732,0.018341071053106
2005-2019,2019,5478,0.00016824731397357184,0.9237583335532856,-1.298723988721001,0.963351382913919,0.012468227475944619,0.5880969938042457,0.27755613949354035,0.03723250560353683,0.027610279224535482,0.15877471051864148,-0.05463308125435043,-0.07286167677586108,-0.35954955798023996,0.012518415596550841,0.017708554605646167,0.01769887030210452
2005-2020,2020,5844,0.0011799916554175675,0.9228638748818321,-1.3220636121211153,0.9674638814743767,0.01152269445752866,0.6015512893666624,0.26790603300070126,0.03593809408024016,0.0266504999696471,0.15325619695523823,-0.043360464208509565,-0.06423217281736876,-0.3522169350042351,0.01208252343044257,0.01709310784131256,0.017081427168537045
2005-2021,2021,6209,0.0009104943561552551,0.9233296803838406,-1.4952004139685728,0.991748106352396,-0.0008910451123027611,0.7008122071010059,0.26096785722247684,0.03500735005081668,0.025960259668451113,0.14928668787186158,-0.04443081531310156,-0.059368508593889785,-0.3498630281092255,0.011639034969378619,0.016465375708776438,0.016454784800856843
2005-2022,2022,6574,8.982883465006942e-05,0.9242134701935745,-1.6634147534301944,1.0146677732012699,-0.01687190532332124,0.796259468133351,0.25477221735257893,0.034176217198857224,0.02534389260157182,0.1457420276302347,-0.038995775600757364,-0.05374501182701357,-0.3471676583515262,0.01125475089800269,0.01592145710845899,0.015911784144082324
